Title,Source,Author,Abstract,,Year,Web_Address
Peeking Inside the Black-Box: A Survey on Explainable Artificial Intelligence (XAI),IEEE Access,"Amina Adadi, M. Berrada","At the dawn of the fourth industrial revolution, we are witnessing a fast and widespread adoption of artificial intelligence (AI) in our daily life, which contributes to accelerating the shift towards a more algorithmic society. However, even with such unprecedented advancements, a key impediment to the use of AI-based systems is that they often lack transparency. Indeed, the black-box nature of these systems allows powerful predictions, but it cannot be directly explained. This issue has triggered a new debate on explainable AI (XAI). A research field holds substantial promise for improving trust and transparency of AI-based systems. It is recognized as the sine qua non for AI to continue making steady progress without disruption. This survey provides an entry point for interested researchers and practitioners to learn key aspects of the young and rapidly growing body of research related to XAI. Through the lens of the literature, we review the existing approaches regarding the topic, discuss trends surrounding its sphere, and present major research trajectories.",Policy Development,2018.0,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8466590
Regulating Artificial Intelligence: Proposal for a Global Solution,Journal of Ethics and Artificial Intelligence,"Erdélyi, O. J., & Goldsmith, J.",An international AI regulatory agency can address legal and ethical challenges.,Policy Development,2018.0,https://dl.acm.org/doi/pdf/10.1145/3278721.3278731
An Artificial Intelligence enabled Smart Industrial Automation System based on internet of Things Assistance,2022 international ACCAI,"Nirmala, Ramesh, Tamilselvi, Ramkumar, Anitha","Several applications adapt the smart technologies to the existing versions to make the application more comfortable to its consumers, in which the technologies such as Internet of Things (IoT), Artificial Intelligence and so on. The adaptation of such technologies provides a huge support to the organizations and individuals to attain the commercial and non-commercial needs in good manner.",Innovation & Adaptation ,2022,https://ieeexplore.ieee.org/document/9752651
Responsible Artificial Intelligence Development: the Role of Organizational Culture and Perceived Organizational Justice,International Conference on Artificial Intelligence,"Mohammadabbasi, M., Moharrami, R., & Jafari, S.",Perceived organizational justice plays a mediating role between organizational culture and the development of responsible artificial intelligence within organizations.,Workforce Dynamic,2022.0,https://dx.doi.org/10.1109/ICAIoT57170.2022.10121859
Robust Artificial Intelligence and Robust Human Organizations,Journal of Artificial Intelligence Research,"Dietterich, T. G.","The more powerful technology becomes, the more it magni- fies design errors and human failures.
",Risk Management,2018.0,https://journal.hep.com.cn/fcs/EN/article/downloadArticleFile.do?attachType=PDF&id=24013
The Forthcoming Artificial Intelligence (AI) Revolution: Its Impact on Society and Firms,Futures Journal,"Makridakis, S.",Artificial intelligence is poised to revolutionize society and firms globally with its profound impact on various aspects of operations and decision-making within organizations.,Global Competitiveness ,2017.0,https://dx.doi.org/10.1016/J.FUTURES.2017.03.006
The Impact of Artificial Intelligence on Business Strategy and Decision-Making Processes,ResearchGate,,,Strategic Decision Making,,https://www.researchgate.net/publication/376307798_The_Impact_of_Artificial_Intelligence_on_Business_Strategy_and_Decision-Making_Processes
The Impact of Artificial Intelligence on Firm Performance,NCBI,,,Global Competitiveness ,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9022026/
The Impact of Artificial Intelligence on Organizational Justice,MDPI,,,Global Competitiveness ,,https://www.mdpi.com/2075-5309/14/1/259
"The Impact of Artificial Intelligence on Society, Education, and Work",International Journal of Educational Development,"Edwards, N.",AI shapes global society through autonomous systems.,Innovation & Adaptation ,2022.0,https://dx.doi.org/10.22492/issn.2186-2303.2022.1
"The Impact of Artificial Intelligence on Society, Education, and Work: Global Society in the Age of Autonomous Systems",International Journal of Computer Science,"Kodirov, Z. Z.",Artificial intelligence technologies are discussed for their impact on various sectors.,Risk Management,2022.0,https://dx.doi.org/10.47191/ijcsrr/v5-i2-31
The Relationship of Artificial Intelligence Opportunity Perception and Employee Career Development,NCBI,,,Workforce Dynamic,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9915176/
The impact of AI on business,MicroSourcing,,,Innovation & Adaptation ,,https://www.microsourcing.com/learn/blog/the-impact-of-ai-on-business/
The impact of artificial intelligence on the future of workforces in the US,White House,,,Workforce Dynamic,,https://www.whitehouse.gov/wp-content/uploads/2022/12/TTC-EC-CEA-AI-Report-12052022-1.pdf
AI and Identity,arXiv,Mulitaleral Global,"AI-empowered technologies’ impact on the world is undeniable, reshaping industries, revolutionizing how humans interact with technology, transforming educational paradigms, and redefining social codes. However, this rapid growth is accompanied by two notable challenges: a lack of diversity within the AI field and a widening AI divide. In this context, this paper examines the intersection of AI and identity as a pathway to understand biases, inequalities, and ethical considerations in AI development and deployment.",Innovation & Adaptation ,2024.0,https://arxiv.org/html/2403.07924v2
This Is How AI Can Transform The Center Of Government,Oliver Wyman,,"The article explores how AI is set to transform the center of government, impacting policy priorities and implementation for global businesses.",Risk Management,2023.0,https://www.oliverwyman.com/our-expertise/insights/2023/nov/generative-ai-impact-center-of-government.html
How Artificial Intelligence Can Augment a People-Centered Workforce,EY,,"This publication examines how AI can augment a people-centered workforce, focusing on global businesses.",Workforce Dynamic,2023.0,https://www.ey.com/en_vn/workforce/how-artificial-intelligence-can-augment-a-people-centered-workforce
ARTIFICIAL INTELLIGENCE IN GLOBAL BUSINESS AND ITS...,JITAL,,This paper explores the immense opportunities AI presents for global businesses and its challenges.,Global Competitiveness ,2023.0,http://jital.org/index.php/jital/article/download/371/253
How AI Can Help Overcome International Business Challenges,Acclaro,,This article provides examples of how AI helps global businesses tackle international challenges.,Global Competitiveness ,2023.0,https://www.acclaro.com/blog/how-ai-can-help-overcome-international-business-challenges/
The Impact of Artificial Intelligence on Corporate Boards,LinkedIn,Bopana Ganapathy,"This article discusses how AI can augment decision-making processes, but also introduces complexities related to transparency, accountability, and ethics. It emphasizes the importance of governance mechanisms to mitigate risks like bias and data privacy issues.",Strategic Decision Making,2024.0,https://www.linkedin.com/pulse/impact-artificial-intelligence-corporate-boards-bopana-ganapathy-5kjpc
Legal liability issues of artificial intelligence and corporate decision making,Dernegocios,,"This article explores the legal liability issues associated with AI and corporate decision-making, with a focus on governance, transparency, and accountability.",Strategic Decision Making,2024.0,https://dernegocios.uexternado.edu.co/comercio-electronico/legal-liability-issues-of-artificial-intelligence-and-corporate-decision-making/
Artificial Intelligence to Enhance Corporate Governance,ResearchGate,,"This article provides a conceptual framework for how AI can enhance corporate governance, focusing on improving decision-making processes and accountability.",Policy Development,2023.0,https://www.researchgate.net/publication/372423221_Artificial_intelligence_to_enhance_corporate_governance_A_conceptual_framework
Promoting More Accountable AI in the Boardroom Through Smart Governance,ScienceDirect,,This article discusses how AI can impact corporate governance and highlights the importance of accountability in AI application within decision-making.,Policy Development,2024.0,https://www.sciencedirect.com/science/article/abs/pii/S0267364924000062
Explainable Artificial Intelligence (XAI) Approaches for Transparency and Accountability in Financial Decision-Making,SSRN,,"This paper examines how explainable AI can enhance transparency and accountability in financial decision-making, with relevance to corporate governance.",Policy Development,2023.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4640316
"The Strategic Role of AI in Governance, Risk and Compliance (GRC)",Security Boulevard,,"AI is transforming how organizations adhere to legal and regulatory standards, especially in cybersecurity. AI systems can automate monitoring and reporting processes required for compliance, significantly reducing manual efforts and the likelihood of human error.",Risk Management,2024.0,https://securityboulevard.com/2024/04/the-strategic-role-of-ai-in-governance-risk-and-compliance-grc/
Integrating GenAI into Existing Systems and Processes,LinkedIn,Deepti Tuli,This article explores how global organizations are leveraging generative AI while navigating regulatory compliance in various industries.,Innovation & Adaptation ,2024.0,https://www.linkedin.com/pulse/navigating-compatibility-integrating-genai-existing-deepti-tuli-dee--7ujic
5 Best Practices for Implementing AI in Agile Organizations,ICAgile,,"This article outlines best practices for implementing AI in agile organizations, focusing on strategic planning, adaptation, and productive ongoing conversation.",Global Competitiveness ,2024.0,https://www.icagile.com/resources/5-best-practices-for-implementing-ai-in-agile-organizations
HR Archives - The Future of Work Exchange,The Future of Work Exchange,N/A,"This article focuses on how artificial intelligence, digital recruitment, and extended workforce management are impacting global organizations.",Workforce Dynamic,2023.0,https://futureofworkexchange.com/tag/hr/
AI & DEI: With Great Opportunities Comes Great HR Responsibility,SlideShare,N/A,"This presentation explores the role of artificial intelligence in workforce management, focusing on intelligent forecasting and global organizations.",Workforce Dynamic,2024.0,https://www.slideshare.net/slideshow/ai-dei-with-great-opportunities-comes-great-hr-responsibility/266679997
EY 2024 Mobility Reimagined Survey,EY Insights,N/A,This survey report covers artificial intelligence use in workforce management and the sustainability value of global organizations.,Workforce Dynamic,2024.0,https://www.ey.com/en_us/insights/workforce/mobility-reimagined-survey
"Dr. Amy Lui Abel, Author and Former LHH Global Talent Partner, on the True Impact of Artificial Intelligence in Talent Selection",Avionté,N/A,This podcast discusses the impact of artificial intelligence in talent selection and contingent workforce management for global organizations.,Workforce Dynamic,2023.0,https://www.avionte.com/resources/podcasts/amy-abel-global-talent-partner-at-lee-hecht-harrison-on-the-true-impact-of-artificial-intelligence-in-talent-selection/
Ethical Issues in the Development of Artificial Intelligence: recognizing the risks,"Manoj Kumar Kamila, sahil Singh Jasrotia",,"In this paper , the authors conduct interviews with individuals to explore the potential benefits and drawbacks of AI technology operating as autonomous ethical agents and find privacy and security, bias and fairness, trust and reliability, transparency and human-AI interactions as major ethical concerns.",Policy Development,2023,https://typeset.io/papers/ethical-issues-in-the-development-of-artificial-intelligence-10wby653
AI Based Information Systems,SciSpace,"Peter Buxmann, Thomas Hess, Jason Bennett Thatcher","Artificial intelligence (AI) is about to bring fundamental changes in our society and economy, touching on how organizations make decisions, deliver services, and evaluate opportunities. Given the breadth of their potential reach across companies of different sizes and in different industries, Erik Brynjolfsson and Andrew McAfee of MIT even speak of AI as ‘‘the most important general-purpose technology of our era’’ (Brynjolfsson and McAfee 2017, p. 2). Today, AI applications in most of the cases are based upon machine learning algorithms, whereby supervised learning, in particular, has become established in practice. Consistent with this optimistic view, leaders in practice predict the widespread use of AI technologies. Forbes, for example, conducted a study among more than 300 executives. 95 percent of the Forbes study’s participants believe that AI will play an essential role in their companies in the future (Forbes Insights Team 2018). The McKinsey Global Institute (MGI) study predicts that AI’s application in companies will result in a global value-added contribution of USD 13 trillion by 2030 (Bughin et al. 2018). AI is already being woven into common applications (Buxmann and Schmidt 2021). For example, AI applications that use machine learning algorithms are used to enable essential firm activities, such as analysis of financial credits, to determine the status of production machines, to support essential services, such as law enforcement, and to protect personal data through cybersecurity. Moreover, AI’s application in health care research – e.g., identifying possible treatment plans or use in drug discovery – have assumed even greater importance as scientists search for treatment and vaccinations in COVID-19-times. From an economic perspective, AI holds the potential to help people, businesses, and governments to lower costs of service delivery and speed up the time required to make decisions. In many cases, algorithms also make faster, more systematic, evidence-based decisions than humans. On the other hand, costs and speed are not the only considerations relevant to decisions. There is a need for a broader conversation about the ethical aspects of decisionmaking and using AI to make decisions that affect people’s lives. These concerns about the potential risks posed to fairness, non-discrimination, transparency and privacy merit attention from policymakers, business leaders, and academic scientists. Of course, no one can tell for sure whether these optimistic and pessimistic forecasts will come true. However, such forecasts command attention, suggesting that rather than a passing fashion, AI will be woven into organizations and society in the years to come.
read less",Innovation & Adaptation ,2021,https://typeset.io/papers/ai-based-information-systems-59pqf4gvjj
Artificial Intelligence adoption and system-wide change,Journal of economics and management strategy,"Joshua S. Gans, Avi Goldfarb","Analyses of artificial intelligence (AI) adoption focus on its adoption at the individual task level. What has received significantly less attention is how AI adoption is shaped by the fact that organizations are composed of many interacting tasks. AI adoption may, therefore, require system-wide change, which is both a constraint and an opportunity. We provide the first formal analysis where multiple tasks may be part of an interdependent system. We find that reliance on AI, a prediction tool, increases decision variation, which, in turn, raises challenges if decisions across the organization interact. Reducing inter-dependencies between decisions softens that impact and can facilitate AI adoption. However, it does this at the expense of synergies. By contrast, when there are mechanisms for inter-decision coordination, AI adoption is enhanced when there are more inter-dependencies. Consequently, we show that there are important cases where AI adoption will be enhanced when it can be adopted beyond tasks but as part of a designed organizational system.",Strategic Decision Making,2023,https://typeset.io/papers/artificial-intelligence-adoption-and-system-wide-change-t4mr893e
Augmenting organizational Change and Strategy Activities: Leveraging Generative Artificial Intelligence,Journal of Applied Behavioral Science,"Rouven Kanitz , Katerina Gonzalez , Roman Briker, Tammo Straatmann
","In this scoping essay, we discuss the potential for generative artificial intelligence (GAI) to shape the work of organizational change, development, or strategy implementation professionals. Using a case example of a culture change initiative, we illustrate how practitioners can benefit from using GAI tools to augment relevant change activities in planning initiative content and roll-out, mobilizing stakeholders, and monitoring initiative progress. We conclude with a reflection on the limitations of GAI systems and outline directions for future research related to (1) stakeholder responses to GAI, (2) GAI impact on the nature of change work, and (3) GAI value creation for change work and unintended consequences of GAI use.",Strategic Decision Making,2023,https://journals.sagepub.com/doi/pdf/10.1177/00218863231168974
AI will transform the global economy lets make sure it benefits humanity ,IMF Blog,Kristalina Georgieva,"AI will affect almost 40 percent of jobs around the world, replacing some and complementing others. We need a careful balance of policies to tap its potential",Workforce Dynamic,2024,https://www.imf.org/en/Blogs/Articles/2024/01/14/ai-will-transform-the-global-economy-lets-make-sure-it-benefits-humanity
Impact of AI and Business Concerns,WIPO ,Interview with Kay Firth-Butterfield of WEF,,Risk Management,,https://www.wipo.int/tech_trends/en/artificial_intelligence/ask_the_experts/techtrends_ai_firth.html
The Role of Artificial Intelligence in Shaping Modern Business Strategies,Rushford Business School,Arbab Khan,"In today’s economy, data is changing the way companies perceive businesses. People and AI are working together to strengthen the capabilities of what humans can do to create value in the current business landscape. Experts are working continuously to predict the use of Artificial Intelligence (AI) at a large scale and add its importance to the global economy.",Workforce Dynamic,2023,https://rushford.ch/insights/the-role-of-artificial-intelligence-in-shaping-modern-business-strategies/
Steering the governance of artificial intelligence: national strategies in perspective,Oxford Academic,Roxana Radu,"This study proposes the first comprehensive analysis of national approaches to AI from a hybrid governance perspective, reflecting on the dominant regulatory discourses and the (re)definition of the public-private ordering in the making.",Policy Development,2021,https://academic.oup.com/policyandsociety/article/40/2/178/6509308
"Artificial intelligence - driven sustainable development: Examining organizational, technical, and processing approaches to achieving global goals",Wiley online library,"Ignat kulkov, julia kulkova, rene rohrbeck, loick menvielle, veltteri kaartemo, hannu makkonen",This study presents a comprehensive literature review using a systematic approach to explore the role of artificial intelligence (AI) in promoting sustainable development in line with the United Nations Sustainable Development Goals (SDGs),Innovation & Adaptation ,2023,https://onlinelibrary.wiley.com/doi/full/10.1002/sd.2773
